exact_score_accuracy,goal_mae,goal_difference_mae,outcome_accuracy,brier_score,log_loss,match_id,model
0,1.0,2,1,0.45780000000000004,0.7985076962177716,M18,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.22160000000000002,0.4780358009429998,M19,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.195,0.4307829160924542,M20,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.9815999999999999,1.4271163556401458,M21,meta/llama-3.1-8b-instruct-fast
0,1.5,1,1,0.22160000000000002,0.4780358009429998,M22,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.5048000000000001,0.8675005677047231,M23,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,0.6913999999999999,1.1086626245216111,M24,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.905,1.3862943611198906,M25,meta/llama-3.1-8b-instruct-fast
0,2.0,2,1,0.22640000000000002,0.4780358009429998,M26,meta/llama-3.1-8b-instruct-fast
0,2.5,5,1,0.22640000000000002,0.4780358009429998,M27,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.22160000000000002,0.4780358009429998,M28,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.30499999999999994,0.5978370007556204,M29,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.5064000000000001,0.8675005677047231,M30,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.1106,0.31471074483970024,M31,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,1.1816,1.9661128563728327,M32,meta/llama-3.1-8b-instruct-fast
0,1.5,3,1,0.22640000000000002,0.4780358009429998,M33,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.22160000000000002,0.4780358009429998,M34,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.9463999999999999,1.3470736479666092,M35,meta/llama-3.1-8b-instruct-fast
0,2.0,4,0,0.6943999999999999,1.1394342831883648,M36,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.11180000000000001,0.31471074483970024,M37,meta/llama-3.1-8b-instruct-fast
0,1.5,1,0,0.9463999999999999,1.3470736479666092,M38,meta/llama-3.1-8b-instruct-fast
0,1.5,1,0,0.905,1.3862943611198906,M39,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,0.6943999999999999,1.1394342831883648,M40,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.1106,0.31471074483970024,M41,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.22160000000000002,0.4780358009429998,M42,meta/llama-3.1-8b-instruct-fast
